起始日期,20210401.00 ,20220401.00 ,20210401.00 ,20200401.00 ,20200401.00 ,20200401.00 ,20200401.00 ,20190401.00 ,20190401.00 ,20190401.00 ,20190401.00 ,20180401.00 ,20180401.00 ,20180401.00 ,20180401.00 ,
截止日期,20211231.00 ,20210930.00 ,20210630.00 ,20210331.00 ,20201231.00 ,20200930.00 ,20200630.00 ,20200331.00 ,20191231.00 ,20190930.00 ,20190630.00 ,20190331.00 ,20181231.00 ,20180930.00 ,20180630.00 ,
年结日,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,331.00 ,
基本每股收益,3.28 ,2.33 ,2.08 ,6.95 ,7.21 ,3.54 ,2.21 ,7.10 ,7.00 ,4.51 ,1.02 ,33.95 ,23.94 ,11.12 ,3.36 ,
稀释每股收益,3.25 ,2.30 ,2.05 ,6.84 ,7.09 ,3.48 ,2.17 ,6.99 ,6.89 ,4.45 ,1.01 ,33.38 ,23.54 ,10.93 ,3.30 ,
每股净资产,359.40 ,355.17 ,359.65 ,345.63 ,345.64 ,316.90 ,301.02 ,281.18 ,277.37 ,231.12 ,200.12 ,190.28 ,177.80 ,162.63 ,152.82 ,
每股现金流,55.26 ,25.61 ,12.39 ,85.45 ,76.57 ,38.58 ,18.65 ,67.23 ,66.52 ,31.42 ,13.29 ,58.36 ,51.09 ,26.05 ,14.04 ,
每股公积金,153.09 ,150.82 ,146.41 ,145.37 ,143.39 ,139.62 ,130.19 ,127.94 ,125.64 ,94.35 ,91.42 ,89.59 ,86.93 ,82.05 ,79.07 ,
每股营业总收入,239.41 ,149.92 ,75.85 ,264.45 ,195.45 ,114.14 ,57.23 ,189.73 ,147.39 ,89.69 ,44.14 ,145.67 ,109.31 ,64.06 ,31.46 ,
每股营业收入,239.41 ,149.92 ,75.85 ,264.45 ,264.45 ,114.14 ,57.23 ,189.73 ,147.39 ,89.69 ,44.14 ,145.67 ,109.31 ,64.06 ,31.46 ,
流动资产周转率,0.98 ,0.63 ,0.32 ,1.30 ,1.00 ,0.63 ,0.32 ,1.39 ,1.08 ,0.77 ,0.41 ,1.43 ,1.09 ,0.67 ,0.33 ,
固定资产周转率,4.15 ,2.67 ,1.37 ,5.72 ,4.23 ,2.79 ,1.43 ,5.22 ,4.09 ,2.43 ,1.23 ,4.75 ,3.60 ,2.16 ,1.12 ,
